;NGC_designation;object_type;Common_names;Constelation_name_abrv;Constellation_Latin;Hubble_morphological_type;Right_Ascension;Declinaison;major_axis;minor_axis;major__axis_position_angle;Magnitude;B_Apparent_Magnitude;V_Apparent_Magnitude;J_Apparent_Magnitude;H_Apparent_Magnitude;K_Apparent_Magnitude;Mean_surface_brigthness;Center_star_name;center_star_U_maghitude;center_star_B_maghitude;center_star_V_maghitude;Messier_number;Caldwell_number;NGC_number;IC_number;Identifiers;NED_notes;OpenNGC_notes
0;NGC0040;Planetary Nebula;Bow-Tie nebula;Cep;Cepheus;-;00:13:01.03;+72:31:19.0;0.8;-;-;11;11.27;11.89;10.89;10.8;10.38;-;HD 000826,HIP 001041,TYC 4302-01297-1;11.14;11.82;11.58;-;C2;-;-;C 002,IRAS 00102+7214,PN G120.0+09.8;-;-
1;NGC0129;Open Cluster;-;Cas;Cassiopeia;-;00:29:58.19;+60:12:40.2;5.4;-;-; 6.5;7.33;6.5;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0053;-;-
2;NGC0136;Open Cluster;-;Cas;Cassiopeia;-;00:31:30.79;+61:30:33.3;3.3;-;-;Unknown;-;-;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0056;-;-
3;NGC0157;Galaxy;-;Cet;Cetus;SABb;00:34:46.76;-08:23:47.2;3.7;1.9;28.0;10.4;11.0;19.0;8.6;7.92;7.68;22.13;-;-;-;-;-;-;-;-;2MASX J00344675-0823473,IRAS 00322-0840,MCG -02-02-056,PGC 002081;Extended HIPASS source;-
4;NGC0185;Galaxy;-;Cas;Cassiopeia;E;00:38:57.97;+48:20:14.6;12.94;10.76;38.0; 9.2;15.71;9.2;7.32;6.7;6.56;24.58;-;-;-;-;-;C18;-;-;2MASX J00385796+4820145,C 018,IRAS 00362+4803,MCG +08-02-010,PGC 002329,UGC 00396;-;-
5;NGC0205;Galaxy;-;And;Andromeda;E;00:40:22.08;+41:41:07.1;16.22;9.59;170.0; 8;8.92;8.07;6.45;5.87;5.59;23.78;-;-;-;-;M110;-;-;-;2MASX J00402207+4141070,IRAS 00376+4124,MCG +07-02-014,PGC 002429,UGC 00426;-;-
6;NGC0225;Open Cluster;-;Cas;Cassiopeia;-;00:43:36.38;+61:46:01.0;4.2;-;-; 7;7.43;7.0;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0068;-;-
7;NGC0246;Planetary Nebula;-;Cet;Cetus;-;00:47:03.36;-11:52:19.0;4.08;-;-; 8;8.0;10.9;-;-;-;-;BD -12 0134,HIP 003678,UCAC2 27592055;10.41;11.6;11.96;-;C56;-;-;C 056,PN G118.8-74.7;-;-
8;NGC0247;Galaxy;-;Cet;Cetus;SABc;00:47:08.55;-20:45:37.4;19.68;5.55;167.0; 8.9;9.61;9.1;8.08;7.67;7.43;23.79;-;-;-;-;-;C62;-;-;2MASX J00470855-2045374,C 062,ESO 540-022,ESO-LV 540-0220,MCG -04-03-005,PGC 002758,UGCA 011;-;-
9;NGC0253;Galaxy;Sculptor Filament,Silver Coin;Scl;Sculptor;SABc;00:47:33.12;-25:17:17.6;26.79;4.58;53.0; 7.1;8.03;13.97;4.81;4.09;3.77;22.42;-;-;-;-;-;C65;-;-;2MASX J00473313-2517196,C 065,ESO 474-029,ESO-LV 474-0290,IRAS 00450-2533,MCG -04-03-009,PGC 002789,UGCA 013;Extended HIPASS source;-
10;NGC0278;Galaxy;-;Cas;Cassiopeia;SABb;00:52:04.31;+47:33:01.8;2.36;2.3;30.0;10.9;10.5;-;8.74;8.1;7.82;22.08;-;-;-;-;-;-;-;-;2MASX J00520430+4733019,IRAS 00492+4716,MCG +08-02-016,PGC 003051,UGC 00528;-;-
11;NGC0288;Globular Cluster;-;Scl;Sculptor;-;00:52:47.45;-26:35:23.6;9.6;-;-; 8.1;10.0;8.13;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0084;-;-
12;NGC0381;Open Cluster;-;Cas;Cassiopeia;-;01:08:18.01;+61:34:59.8;6.0;-;-; 9;-;9.3;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0105;-;-
13;NGC0404;Galaxy;-;And;Andromeda;E-S0;01:09:27.02;+35:43:05.3;3.4;3.37;90.0;10.1;12.56;11.73;-;-;-;22.61;-;-;-;-;-;-;-;-;IRAS 01066+3527,MCG +06-03-018,PGC 004126,UGC 00718;-;-
14;NGC0436;Open Cluster;-;Cas;Cassiopeia;-;01:15:57.78;+58:49:01.6;5.7;-;-; 8.8;8.01;8.8;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0111;-;-
15;NGC0457;Open Cluster;Owl Cluster;Cas;Cassiopeia;-;01:19:32.65;+58:17:26.5;7.8;-;-; 6.4;6.97;6.4;-;-;-;-;-;-;-;-;-;C13;-;-;C 013,MWSC 0114;-;-
16;NGC0488;Galaxy;-;Psc;Pisces;Sb;01:21:46.85;+05:15:24.2;5.05;3.66;13.0;10.3;15.0;-;7.91;7.03;6.96;23.15;-;-;-;-;-;-;-;-;2MASX J01214684+0515241,IRAS 01191+0459,MCG +01-04-033,PGC 004946,SDSS J012146.79+051524.7,UGC 00907;-;-
17;NGC0524;Galaxy;-;Psc;Pisces;S0-a;01:24:47.72;+09:32:19.8;3.37;3.35;55.0;10.6;11.5;-;8.13;7.43;7.16;22.78;-;-;-;-;-;-;-;-;2MASX J01244770+0932196,IRAS 01221+0916,MCG +01-04-053,PGC 005222,SDSS J012447.74+093220.0,UGC 00968;-;-
18;NGC0559;Open Cluster;-;Cas;Cassiopeia;-;01:29:33.17;+63:18:05.2;9.0;-;-; 9.5;9.85;9.5;-;-;-;-;-;-;-;-;-;C8;-;-;C 008,MWSC 0122;-;-
19;NGC0584;Galaxy;-;Cet;Cetus;E;01:31:20.75;-06:52:05.0;3.78;2.51;104.0;10.4;11.44;10.48;8.24;7.48;7.3;23.06;-;-;-;-;-;-;-;IC1712;2MASX J01312075-0652050,MCG -01-04-060,PGC 005663;Position in 1996ApJS..106....1W is 12 arcsec south of the nucleus.;-
20;NGC0596;Galaxy;-;Cet;Cetus;E;01:32:52.08;-07:01:54.6;2.14;1.58;36.0;10.9;11.5;-;8.87;8.19;7.98;22.36;-;-;-;-;-;-;-;-;2MASX J01325190-0701535,MCG -01-05-005,PGC 005766;-;-
21;NGC0598;Galaxy;Triangulum Galaxy,Triangulum Pinwheel;Tri;Triangulum;Sc;01:33:50.89;+30:39:36.8;62.09;36.73;23.0; 5.7;6.27;5.72;5.04;4.35;4.1;23.61;-;-;-;-;M33;-;-;-;2MASX J01335090+3039357,IRAS 01310+3024,MCG +05-04-069,PGC 005818,UGC 01117;-;-
22;NGC0613;Galaxy;-;Scl;Sculptor;Sbc;01:34:18.17;-29:25:06.1;5.48;4.51;125.0;10;10.77;12.71;7.92;7.38;7.03;23.02;-;-;-;-;-;-;-;-;2MASX J01341823-2925065,ESO 413-011,ESO-LV 413-0110,IRAS 01319-2940,MCG -05-04-044,PGC 005849;-;-
23;NGC0615;Galaxy;-;Cet;Cetus;Sb;01:35:05.68;-07:20:25.1;3.18;1.16;164.0;11.5;12.8;-;9.51;8.86;8.56;22.98;-;-;-;-;-;-;-;-;2MASX J01350567-0720250,IRAS 01325-0735,MCG -01-05-008,PGC 005897;-;-
24;NGC0637;Open Cluster;-;Cas;Cassiopeia;-;01:43:03.11;+64:02:11.6;4.5;-;-; 8.2;8.56;8.2;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0133;-;-
25;NGC0651;Planetary Nebula;-;Per;Perseus;-;01:42:19.69;+51:34:31.7;-;-;-;12;-;-;-;-;-;-;-;-;-;-;M76;-;NGC0650;-;-;-;-
26;NGC0654;Open Cluster;-;Cas;Cassiopeia;-;01:43:59.43;+61:52:57.8;6.3;-;-; 6.5;7.34;6.5;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0137;-;-
27;NGC0659;Open Cluster;-;Cas;Cassiopeia;-;01:44:22.99;+60:40:09.0;4.2;-;-; 7.9;8.4;7.9;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0138;-;-
28;NGC0663;Open Cluster;-;Cas;Cassiopeia;-;01:46:16.05;+61:13:05.5;6.0;-;-; 7.1;7.78;7.1;-;-;-;-;-;-;-;-;-;C10;-;-;C 010,MWSC 0139;-;-
29;NGC0720;Galaxy;-;Cet;Cetus;E;01:53:00.50;-13:44:19.2;4.49;2.37;142.0;10.2;12.4;-;8.18;7.51;7.27;23.23;-;-;-;-;-;-;-;-;2MASX J01530052-1344192,MCG -02-05-068,PGC 006983;-;-
30;NGC0752;Open Cluster;-;And;Andromeda;-;01:57:34.82;+37:50:00.2;39.0;-;-; 5.7;6.47;5.7;-;-;-;-;-;-;-;-;-;C28;-;-;C 028,MWSC 0151;-;-
31;NGC0772;Galaxy;-;Ari;Aries;Sb;01:59:19.58;+19:00:27.1;4.57;2.52;131.0;10.3;11.09;10.31;8.17;7.44;7.2;22.32;-;-;-;-;-;-;-;-;2MASX J01591958+1900271,IRAS 01565+1845,MCG +03-06-011,PGC 007525,SDSS J015919.55+190027.5,UGC 01466;-;-
32;NGC0779;Galaxy;-;Cet;Cetus;SABb;01:59:42.28;-05:57:47.5;1.35;0.58;160.0;11;12.1;-;8.95;8.27;8.07;20.75;-;-;-;-;-;-;-;-;IRAS 01571-0612,MCG -01-06-016,PGC 007544;-;-
33;NGC0869;Open Cluster;h Persei Cluster;Per;Perseus;-;02:18:58.56;+57:07:02.1;14.4;-;-; 4;4.3;3.7;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0175;-;Caldwell 14 refers to both NGC869 and NGC884
34;NGC0884;Open Cluster;chi Persei Cluster;Per;Perseus;-;02:22:32.10;+57:08:38.8;10.5;-;-; 4;4.4;3.8;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0184;-;Caldwell 14 refers to both NGC869 and NGC884
35;NGC0891;Galaxy;-;And;Andromeda;Sb;02:22:33.41;+42:20:56.9;13.03;3.03;22.0;10;10.81;9.93;7.26;6.36;5.94;24.17;-;-;-;-;-;C23;-;-;2MASX J02223290+4220539,C 023,IRAS 02193+4207,MCG +07-05-046,PGC 009031,UGC 01831;-;-
36;NGC0908;Galaxy;-;Cet;Cetus;SABc;02:23:04.57;-21:14:01.9;6.14;2.82;77.0;10.2;11.03;10.18;8.16;7.49;7.23;22.86;-;-;-;-;-;-;-;-;2MASX J02230456-2114018,ESO 545-011,ESO-LV 545-0110,IRAS 02207-2127,MCG -04-06-035,PGC 009057,UGCA 029;-;-
37;NGC0936;Galaxy;-;Cet;Cetus;S0-a;02:27:37.46;-01:09:22.6;4.44;3.18;133.0;10.1;11.1;-;7.84;7.14;6.91;23.14;-;-;-;-;-;-;-;-;2MASX J02273746-0109226,MCG +00-07-017,PGC 009359,SDSS J022737.44-010921.5,SDSS J022737.44-010921.6,UGC 01929;-;-
38;NGC1022;Galaxy;-;Cet;Cetus;SBa;02:38:32.71;-06:40:38.7;2.6;1.5;74.0;11.4;12.09;11.34;9.45;8.79;8.5;22.66;-;-;-;-;-;-;-;-;2MASX J02383270-0640386,IRAS 02360-0653,MCG -01-07-025,PGC 010010;-;-
39;NGC1023;Galaxy;-;Per;Perseus;E-S0;02:40:24.01;+39:03:47.8;7.4;3.06;87.0; 9.5;10.35;9.35;7.16;6.49;6.24;22.59;-;-;-;-;-;-;-;-;2MASX J02402401+3903477,MCG +06-06-073,PGC 010123,UGC 02154;-;-
40;NGC1027;Open Cluster;-;Cas;Cassiopeia;-;02:42:35.06;+61:35:39.7;7.8;-;-; 6.7;7.28;6.7;-;-;-;-;-;-;-;-;-;-;-;IC1824;MWSC 0225;The IC identification is not certain.;-
41;NGC1052;Galaxy;-;Cet;Cetus;E;02:41:04.80;-08:15:20.8;2.94;2.07;109.0;10.6;11.41;10.47;8.37;7.71;7.45;22.65;-;-;-;-;-;-;-;-;2MASX J02410480-0815209,IRAS 02386-0828,MCG -01-07-034,PGC 010175;-;-
42;NGC1055;Galaxy;-;Cet;Cetus;SBb;02:41:45.23;+00:26:35.4;6.92;3.53;104.0;10.6;11.4;10.59;8.25;7.49;7.15;23.87;-;-;-;-;-;-;-;-;2MASX J02414523+0026354,IRAS 02391+0013,MCG +00-07-081,PGC 010208,SDSS J024144.78+002642.4,UGC 02173;Confused and extended HIPASS source;-
43;NGC1084;Galaxy;-;Eri;Eridanus;Sc;02:45:59.91;-07:34:42.5;3.4;2.25;36.0;10.6;11.59;10.73;8.84;8.21;7.93;22.24;-;-;-;-;-;-;-;-;2MASX J02455992-0734431,IRAS 02435-0747,MCG -01-08-007,PGC 010464,SDSS J024559.90-073442.4;Extended HIPASS source;-
44;NGC1245;Open Cluster;-;Per;Perseus;-;03:14:41.46;+47:14:19.3;11.4;-;-; 8.4;9.16;8.4;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0264;-;-
45;NGC1342;Open Cluster;-;Per;Perseus;-;03:31:40.12;+37:22:45.8;6.3;-;-; 6.7;7.35;6.7;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0283;-;-
46;NGC1407;Galaxy;-;Eri;Eridanus;E;03:40:11.86;-18:34:48.4;5.73;5.27;60.0; 9.8;10.64;9.67;7.64;6.99;6.7;23.36;-;-;-;-;-;-;-;-;2MASX J03401190-1834493,ESO 548-067,ESO-LV 548-0670,MCG -03-10-030,PGC 013505;-;-
47;NGC1444;Open Cluster;-;Per;Perseus;-;03:49:28.88;+52:39:19.2;3.6;-;-; 6.6;7.04;6.6;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0308;-;-
48;NGC1501;Planetary Nebula;-;Cam;Camelopardalis;-;04:06:59.37;+60:55:14.5;0.87;-;-;13;13.3;11.5;13.2;12.92;12.79;-;-;14.34;15.17;14.39;-;-;-;-;IRAS 04026+6047,PN G144.5+06.5;-;-
49;NGC1502;Open Cluster;-;Cam;Camelopardalis;-;04:07:49.30;+62:19:53.5;10.2;-;-; 5.7;7.47;6.9;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0343;-;-
50;NGC1513;Open Cluster;-;Per;Perseus;-;04:09:54.70;+49:31:02.2;5.1;-;-; 8.4;8.71;8.4;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0346;-;-
51;NGC1528;Open Cluster;-;Per;Perseus;-;04:15:18.87;+51:12:41.3;9.6;-;-; 6.4;6.83;6.4;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0353;-;-
52;NGC1535;Planetary Nebula;-;Eri;Eridanus;-;04:14:15.77;-12:44:21.8;0.35;-;-;10;9.6;9.6;10.9;10.86;10.25;-;BD -13 842,HD 26847;-;12.19;12.18;-;-;-;-;2MASX J04141578-1244216,IRAS 04119-1251,PN G206.4-40.5;-;-
53;NGC1545;Open Cluster;-;Per;Perseus;-;04:20:56.26;+50:15:19.2;4.2;-;-; 6.2;7.2;6.2;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0369;-;-
54;NGC1647;Open Cluster;-;Tau;Taurus;-;04:45:55.57;+19:05:42.4;27.0;-;-; 6.4;6.82;6.4;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0416;-;-
55;NGC1664;Open Cluster;-;Aur;Auriga;-;04:51:05.43;+43:40:34.2;11.4;-;-; 7.6;8.02;7.6;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0430;-;-
56;NGC1788;Nebula;-;Ori;Orion;-;05:06:53.22;-03:20:27.5;2.0;2.0;-;Unknown;5.8;-;-;-;-;-;-;-;-;-;-;-;-;-;IRAS 05044-0325,LBN 916;Identified as IR cirrus by Strauss, et al (1992, ApJS, 83, 29).;-
57;NGC1817;Open Cluster;-;Tau;Taurus;-;05:12:26.27;+16:41:02.7;9.3;-;-; 7.7;8.44;7.7;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0484;-;-
58;NGC1857;Open Cluster;-;Aur;Auriga;-;05:20:05.56;+39:20:37.0;4.5;-;-; 7;8.08;7.0;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0505;-;-
59;NGC1907;Open Cluster;-;Aur;Auriga;-;05:28:04.55;+35:19:32.4;5.4;-;-; 8.2;8.87;8.2;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0552;-;-
60;NGC1931;Cluster Nebulosity;-;Aur;Auriga;-;05:31:25.35;+34:14:47.6;4.8;-;-;11.3;-;10.1;-;-;-;-;-;-;-;-;-;-;-;-;2MASX J05312534+3414475,LBN 810,MWSC 0564;-;-
61;NGC1961;Galaxy;-;Cam;Camelopardalis;SABb;05:42:04.65;+69:22:42.4;4.42;3.1;85.0;11.1;11.73;10.99;8.79;8.01;7.73;23.47;-;-;-;-;-;-;-;IC2133;2MASX J05420477+6922421,IRAS 05365+6921,MCG +12-06-007,PGC 017625,UGC 03334;-;-
62;NGC1964;Galaxy;-;Lep;Lepus;SABb;05:33:21.76;-21:56:44.8;5.16;2.33;31.0;10.8;11.45;10.81;8.65;7.93;7.68;23.25;-;-;-;-;-;-;-;-;2MASX J05332175-2156447,ESO 554-010,ESO-LV 554-0100,IRAS 05312-2158,MCG -04-14-003,PGC 017436;-;-
63;NGC1980;Nebula;Lower Sword;Ori;Orion;-;05:35:25.99;-05:54:35.6;9.3;-;-;Unknown;-;2.5;-;-;-;-;-;-;-;-;-;-;-;-;LBN 977,MWSC 0586;-;-
64;NGC1999;Nebula;-;Ori;Orion;-;05:36:25.35;-06:42:57.1;2.0;2.0;-;Unknown;9.5;-;-;-;-;-;-;-;-;-;-;-;-;-;LBN 979;-;-
65;NGC2022;Planetary Nebula;-;Ori;Orion;-;05:42:06.21;+09:05:11.5;0.32;-;-;12;12.4;11.6;15.42;11.79;11.03;-;HD 37882;-;15.89;-;-;-;-;-;IRAS 05393+0903,PN G196.6-10.9;-;-
66;NGC2024;Nebula;-;Ori;Orion;-;05:41:42.57;-01:51:22.6;30.0;30.0;-;Unknown;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Dimensions taken from LEDA
67;NGC2126;Open Cluster;-;Aur;Auriga;-;06:02:32.98;+49:51:57.3;5.4;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0708;-;-
68;NGC2129;Open Cluster;-;Gem;Gemini;-;06:01:06.54;+23:19:19.8;3.9;-;-; 6.7;7.31;6.7;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0704;-;-
69;NGC2158;Open Cluster;-;Gem;Gemini;-;06:07:25.61;+24:05:46.2;8.4;-;-; 8.6;9.49;8.6;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0733;-;-
70;NGC2169;Open Cluster;-;Ori;Orion;-;06:08:24.35;+13:57:53.5;7.2;-;-; 5.9;5.99;5.9;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0740;-;-
71;NGC2185;Nebula;-;Mon;Monoceros;-;06:11:00.47;-06:13:36.7;2.0;2.0;-;Unknown;12.9;-;-;-;-;-;-;-;-;-;-;-;-;-;LBN 997;-;-
72;NGC2186;Open Cluster;-;Ori;Orion;-;06:12:07.13;+05:27:30.9;4.2;-;-; 8.7;9.2;8.7;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0787;-;-
73;NGC2194;Open Cluster;-;Ori;Orion;-;06:13:45.91;+12:48:24.0;8.7;-;-; 8.5;9.03;8.5;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0803;-;-
74;NGC2204;Open Cluster;-;CMa;Canis Major;-;06:15:32.22;-18:39:57.1;6.3;-;-; 8.6;9.35;8.6;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0822;-;-
75;NGC2215;Open Cluster;-;Mon;Monoceros;-;06:20:49.25;-07:17:01.6;8.4;-;-; 8.4;8.85;8.45;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0843;-;-
76;NGC2232;Open Cluster;-;Mon;Monoceros;-;06:28:01.13;-04:50:50.8;9.9;-;-; 3.9;-;3.9;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0861;-;-
77;NGC2244;Open Cluster;-;Mon;Monoceros;-;06:31:55.56;+04:56:34.6;-;-;-; 4.8;-;-;-;-;-;-;-;-;-;-;-;C50;NGC2239;-;-;-;-
78;NGC2251;Open Cluster;-;Mon;Monoceros;-;06:34:38.48;+08:21:59.0;5.7;-;-; 7.3;7.69;7.3;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0916;-;-
79;NGC2264;Cluster Nebulosity;Christmas Tree Cluster;Mon;Monoceros;-;06:40:58.25;+09:53:43.7;11.4;-;-; 3.9;-;3.9;-;-;-;-;-;-;-;-;-;-;-;-;LBN 911,MWSC 0954;-;-
80;NGC2266;Open Cluster;-;Gem;Gemini;-;06:43:19.21;+26:58:10.4;4.2;-;-;10;-;9.5;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0967;-;-
81;NGC2281;Open Cluster;-;Aur;Auriga;-;06:48:17.84;+41:04:43.9;10.8;-;-; 5.4;6.05;5.4;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0989;-;-
82;NGC2286;Open Cluster;-;Mon;Monoceros;-;06:47:40.17;-03:08:51.6;5.4;-;-; 7.5;8.16;7.5;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 0987;-;-
83;NGC2301;Open Cluster;Great Bird Cluster;Mon;Monoceros;-;06:51:45.30;+00:27:33.1;10.8;-;-; 6;6.3;6.0;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 1000;-;-
84;NGC2304;Open Cluster;-;Gem;Gemini;-;06:55:11.61;+17:59:34.0;4.8;-;-;10;-;10.0;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 1019;-;-
85;NGC2311;Open Cluster;-;Mon;Monoceros;-;06:57:47.55;-04:36:40.8;6.0;-;-;10;-;9.6;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 1035;-;-
86;NGC2324;Open Cluster;-;Mon;Monoceros;-;07:04:07.96;+01:02:40.6;8.7;-;-; 8.4;8.83;8.4;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 1084;-;-
87;NGC2335;Open Cluster;-;Mon;Monoceros;-;07:06:49.45;-10:01:43.1;8.7;-;-; 7.2;7.76;7.2;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 1100;-;-
88;NGC2343;Open Cluster;-;Mon;Monoceros;-;07:08:06.80;-10:37:00.5;7.5;-;-; 6.7;7.05;6.7;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 1119;-;-
89;NGC2353;Open Cluster;-;Mon;Monoceros;-;07:14:30.31;-10:15:57.1;6.6;-;-; 7.1;7.3;7.1;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 1152;-;-
90;NGC2354;Open Cluster;-;CMa;Canis Major;-;07:14:05.27;-25:41:20.1;4.8;-;-; 6.5;7.28;6.5;-;-;-;-;-;-;-;-;-;-;-;-;MWSC 1148;-;-
91;NGC2355;Open Cluster;-;Gem;Gemini;-;07:16:59.26;+13:44:59.5;6.0;-;-;10;-;9.7;-;-;-;-;-;-;-;-;-;-;NGC2356;-;MWSC 1160;-;-
92;NGC2360;Open Cluster;Caroline's Cluster;CMa;Canis Major;-;07:17:43.12;-15:38:28.7;9.0;-;-; 7.2;7.62;7.2;-;-;-;-;-;-;-;-;-;C58;-;-;C 058,MWSC 1165;-;-
